condition,kind,rate,WER,CER,ExactMatch
clean,clean,0.0,1.77153329260843,0.6906579425663395,93.33333333333333
substitute_5pct,substitute,0.05,24.49602932193036,12.40760935417424,19.333333333333332
substitute_10pct,substitute,0.1,36.89676237018937,19.520174482006546,12.666666666666668
substitute_20pct,substitute,0.2,65.30238240684179,38.66472797770508,1.3333333333333335
delete_5pct,delete,0.05,19.48686621869273,8.639282685084213,33.0
delete_10pct,delete,0.1,30.238240684178376,15.848782260996003,14.666666666666666
delete_20pct,delete,0.2,55.222968845448996,31.225009087604505,5.0
insert_5pct,insert,0.05,15.394013439218082,7.948624742517872,46.0
insert_10pct,insert,0.1,25.962125839951128,14.649218466012359,26.666666666666668
insert_20pct,insert,0.2,57.11667684789249,33.93917363383012,4.333333333333334
